addbreakpoint; Debugger methods; ALL; ; https://github.com/leuat/TRSE/raw/master/resources/text/help/m/addbreakpoint.rtf
disassemble; Debugger methods; ALL; ; 
initrandom; Init functions; C64, MEGA65, X16,PLUS4, C128, APPLEII, SNES, ORIC; ; 
initrandom256; Init functions; C64, MEGA65, PLUS4, C128, VIC20, APPLEII, SNES, ORIC; ; 
initsinetable; Init functions; MOS6502; ; https://github.com/leuat/TRSE/raw/master/resources/text/help/m/initsinetable.rtf
DefineScreen; Init functions; MOS6502; ; 
SetColorMemoryAddress; Init functions; VIC20; ; 
initmoveto; Init functions; C64, MEGA65, PLUS4, X16,C128, VIC20, PET,  NES; ; 
initprintdecimal; Init functions; MOS6502; ; 
initeightbitmul; Init functions; MOS6502; ; 
init16x8mul; Init functions; MOS6502; ; 
init16x8div; Init functions; MOS6502; ; 
init8x8div; Init functions; MOS6502; ; 
initprintstring; Init functions; C64, MEGA65, PLUS4, C128; ; 
initjoystick; Init functions; C64, MEGA65, PLUS4, C128, VIC20; ; 
initatan2; Init functions; MOS6502; ; 
initdrawtextbox; Init functions; MOS6052; ; 
initJoy1; Init functions; C64, MEGA65, VIC20; ; 
initJoy2; Init functions; C64, MEGA65; ; 
initBcd; Init functions; MOS6502; ; 
initGetKey; Init functions; C64, MEGA65, C128; ; 
initVbm; VIC20 bitmap mode routines; VIC20; ; 
vbmSetDisplayMode; VIC20 bitmap mode routines; VIC20; number; 
vbmResetDisplayMode; VIC20 bitmap mode routines; VIC20; ; 
vbmSetColumn; VIC20 bitmap mode routines; VIC20; byte; 
vbmSetPosition1; VIC20 bitmap mode routines; VIC20; byte, byte; 
vbmSetPosition2; VIC20 bitmap mode routines; VIC20; byte, byte; 
vbmSetPosition4; VIC20 bitmap mode routines; VIC20; byte, byte; 
vbmNextColumn; VIC20 bitmap mode routines; VIC20; ; 
vbmDebug; VIC20 bitmap mode routines; VIC20; number; 
vbmClear; VIC20 bitmap mode routines; VIC20; byte; 
vbmClearColor; VIC20 bitmap mode routines; VIC20; byte; 
vbmDrawTile; VIC20 bitmap mode routines; VIC20; address; 
vbmDrawTileO; VIC20 bitmap mode routines; VIC20; address; 
vbmDrawTileE; VIC20 bitmap mode routines; VIC20; address; 
vbmClearTile; VIC20 bitmap mode routines; VIC20; address; 
vbmClearBlock; VIC20 bitmap mode routines; VIC20; ; 
vbmDrawTileMap; VIC20 bitmap mode routines; VIC20; address, address, byte, byte, byte, byte; 
vbmDrawTileMapO; VIC20 bitmap mode routines; VIC20; address, address, byte, byte, byte, byte; 
vbmDrawTileMapE; VIC20 bitmap mode routines; VIC20; address, address, byte, byte, byte, byte; 
vbmClearTileMap; VIC20 bitmap mode routines; VIC20; address, address, byte, byte, byte, byte; 
vbmTestPixel; VIC20 bitmap mode routines; VIC20; byte, byte; 
vbmTestPixel2; VIC20 bitmap mode routines; VIC20; byte, byte; 
vbmTestTilePixel; VIC20 bitmap mode routines; VIC20; address, byte, byte; 
vbmTestTilePixel2; VIC20 bitmap mode routines; VIC20; address, byte, byte; 
vbmDrawDot; VIC20 bitmap mode routines; VIC20; byte, byte; 
vbmClearDot; VIC20 bitmap mode routines; VIC20; byte, byte; 
vbmDrawDotE; VIC20 bitmap mode routines; VIC20; byte, byte; 
vbmDrawBlot; VIC20 bitmap mode routines; VIC20; byte, byte; 
vbmClearBlot; VIC20 bitmap mode routines; VIC20; byte, byte; 
vbmDrawBlotE; VIC20 bitmap mode routines; VIC20; byte, byte; 
vbmScrollLeft; VIC20 bitmap mode routines; VIC20; ; 
vbmScrollRight; VIC20 bitmap mode routines; VIC20; ; 
vbmScrollFixTop; VIC20 bitmap mode routines; VIC20; ; 
vbmScrollFixBottom; VIC20 bitmap mode routines; VIC20; ; 
vbmInitScreenShiftLeft; VIC20 bitmap mode routines; VIC20; byte; 
vbmInitScreenShiftRight; VIC20 bitmap mode routines; VIC20; byte; 
vbmScreenShiftLeft; VIC20 bitmap mode routines; VIC20; byte, byte; 
vbmScreenShiftRight; VIC20 bitmap mode routines; VIC20; byte, byte; 
vbmSpriteStitch; VIC20 bitmap mode routines; VIC20; address, address, byte; 
vbmSpriteShiftR; VIC20 bitmap mode routines; VIC20; address, address, byte, byte, address; 
vbmSpriteShiftL; VIC20 bitmap mode routines; VIC20; address, address, byte, byte, address; 
vbmSpriteShiftSR; VIC20 bitmap mode routines; VIC20; address, address, byte, byte, address; 
vbmSpriteShiftSL; VIC20 bitmap mode routines; VIC20; address, address, byte, byte, address; 
vbmDrawSprite8; VIC20 bitmap mode routines; VIC20; address, address; 
vbmDrawSprite8E; VIC20 bitmap mode routines; VIC20; address, address; 
vbmClearSprite8; VIC20 bitmap mode routines; VIC20; address, address; 
vbmDrawSprite16; VIC20 bitmap mode routines; VIC20; address, address, address; 
vbmDrawSprite16E; VIC20 bitmap mode routines; VIC20; address, address, address; 
vbmClearSprite16; VIC20 bitmap mode routines; VIC20; address, address, address; 
vbmDrawSpriteSlice; VIC20 bitmap mode routines; VIC20; address, byte, byte; 
vbmDrawSpriteSliceE; VIC20 bitmap mode routines; VIC20; address, byte, byte; 
vbmClearSpriteSlice; VIC20 bitmap mode routines; VIC20; address, byte, byte; 
vbmDrawText; VIC20 bitmap mode routines; VIC20; address, address, byte, byte, byte; 
vbmDrawTextO; VIC20 bitmap mode routines; VIC20; address, address, byte, byte, byte; 
vbmDrawTextE; VIC20 bitmap mode routines; VIC20; address, address, byte, byte, byte; 
vbmClearText; VIC20 bitmap mode routines; VIC20; address, address, byte, byte, byte; 
vbmDrawSmallTextO; VIC20 bitmap mode routines; VIC20; address, address, byte, byte, byte; 
vbmDrawSmallTextE; VIC20 bitmap mode routines; VIC20; address, address, byte, byte, byte; 
vbmClearSmallText; VIC20 bitmap mode routines; VIC20; address, address, byte, byte, byte; 
vbmDrawBCD; VIC20 bitmap mode routines; VIC20; address, address, byte, byte, byte; 
vbmDrawSmallBCD; VIC20 bitmap mode routines; VIC20; address, address, byte, byte, byte; 
vbmDrawSmallBCDO; VIC20 bitmap mode routines; VIC20; address, address, byte, byte, byte; 
vbmCopyToBuffer; VIC20 bitmap mode routines; VIC20; address, byte, byte; 
vbmCopyFromBuffer; VIC20 bitmap mode routines; VIC20; address, byte, byte; 
vbmDrawSprite; VIC20 bitmap mode routines; VIC20; address, address; 
vbmDrawSpriteE; VIC20 bitmap mode routines; VIC20; address, address; 
vbmClearSprite; VIC20 bitmap mode routines; VIC20; address, address; 
vbmDrawSprite2; VIC20 bitmap mode routines; VIC20; address, address, address; 
vbmDrawSprite2E; VIC20 bitmap mode routines; VIC20; address, address, address; 
vbmClearSprite2; VIC20 bitmap mode routines; VIC20; address, address, address; 
fill; VIC20 bitmap mode routines; GAMEBOY,Z80, Z180; address, byte, integer; https://github.com/leuat/TRSE/raw/master/resources/text/help/m/fill.rtf
MemCpy; VIC20 bitmap mode routines; GAMEBOY,Z80, Z180; address, address, integer; 
MemCpyCont; VIC20 bitmap mode routines; GAMEBOY,Z80, Z180; integer; 
MemCpyOnHBLank; VIC20 bitmap mode routines; GAMEBOY, SPECTRUM, MSX,  TIKI100; address, address, integer; 
MemCpyOnHBLank4; VIC20 bitmap mode routines; GAMEBOY, SPECTRUM, MSX,  TIKI100; address, address, integer; 
EnableVBlank; VIC20 bitmap mode routines; GAMEBOY, SPECTRUM, MSX,  TIKI100; ; 
EnableTimer; VIC20 bitmap mode routines; GAMEBOY, SPECTRUM, MSX,  TIKI100; ; 
Halt; VIC20 bitmap mode routines; GAMEBOY, SPECTRUM, MSX,  TIKI100; ; 
Loop; VIC20 bitmap mode routines; GAMEBOY, AMSTRADCPC, VZ200 , Z80, Z180; ; 
SetSprite; VIC20 bitmap mode routines; GAMEBOY, SPECTRUM, MSX,  TIKI100; address, byte, byte, byte, byte; 
InitSprite; VIC20 bitmap mode routines; GAMEBOY, SPECTRUM, MSX,  TIKI100; address, byte, byte, byte, byte; 
InitSpriteFromData; VIC20 bitmap mode routines; GAMEBOY, SPECTRUM, MSX,  TIKI100; address, address, byte, byte, byte, byte; 
UpdateMusic; VIC20 bitmap mode routines; GAMEBOY, SPECTRUM, MSX,  TIKI100; ; 
LoadMusic; VIC20 bitmap mode routines; GAMEBOY, SPECTRUM, MSX,  TIKI100; string, byte; 
InitVBlank; VIC20 bitmap mode routines; GAMEBOY, SPECTRUM, MSX,  TIKI100; procedure; 
InitTimer; VIC20 bitmap mode routines; GAMEBOY, SPECTRUM, MSX,  TIKI100; procedure; 
Push; VIC20 bitmap mode routines; GAMEBOY, Z80, Z180; ; 
POP; VIC20 bitmap mode routines; GAMEBOY, Z80, Z180; ; 
waitforhblank; VIC20 bitmap mode routines; GAMEBOY, SPECTRUM, MSX,  TIKI100; ; 
joypad; VIC20 bitmap mode routines; GAMEBOY, SPECTRUM, MSX,  TIKI100; address, address; 
RasterIRQ; VIC20 bitmap mode routines; AMSTRADCPC, VZ200; procedure; 
InitGraphics; Atari ST routines; ATARI520ST; ; 
HLine; Atari ST routines; ATARI520ST; integer, integer, integer, integer; 
GetScreen; Atari ST routines; ATARI520ST; address; 
WaitForKeypress; Atari ST routines; ATARI520ST; ; 
keypressed; Atari ST routines; ATARI520ST; byte; https://github.com/leuat/TRSE/raw/master/resources/text/help/m/keypressed.rtf
setlores; Atari ST routines; ATARI520ST; ; 
sethires; Atari ST routines; ATARI520ST; ; 
setmedres; Atari ST routines; ATARI520ST; ; 
InitMusic; Atari ST routines; ATARI520ST; address; 
UpdateMusic; Atari ST routines; ATARI520ST; ; 
SetIRQ; Atari ST routines; ATARI520ST; procedure, address; 
SetTimerIRQ; Atari ST routines; ATARI520ST; procedure, byte; 
InitMatmul3x3; Amiga routines; Amiga, ATARI520ST; ; 
InitPoly; Amiga routines; Amiga, ATARI520ST; ; 
InitLine; Amiga routines; Amiga, ATARI520ST; ; 
InitMatmulVec; Amiga routines; Amiga, ATARI520ST; ; 
InitMatmulVecNormalZ; Amiga routines; Amiga, ATARI520ST; ; 
InitProjectToScreen; Amiga routines; Amiga, ATARI520ST; ; 
InitP61PlayerInternal; Amiga routines; Amiga, ATARI520ST; ; 
InitProjectAllVertices; Amiga routines; Amiga, ATARI520ST; ; 
InitP61Module; Amiga routines; Amiga; address; 
PlayP61Module; Amiga routines; Amiga; ; 
Poke8; Amiga routines; Amiga, ATARI520ST; address, integer, byte; 
Poke16; Amiga routines; Amiga, ATARI520ST; address, integer, integer; 
Peek16; Amiga routines; M68000; address, integer; 
Peek8; Amiga routines; M68000; address, integer; 
Poke32; Amiga routines; Amiga, ATARI520ST; address, integer, long; 
WaitVerticalBlank; Amiga routines; Amiga, ATARI520ST; ; 
SetCopperList32; Amiga routines; Amiga; address, address; 
ApplyCopperList; Amiga routines; Amiga; ; 
memcpy; Amiga routines; Amiga, ATARI520ST; address, long, address, long, long, integer; https://github.com/leuat/TRSE/raw/master/resources/text/help/m/memcpy.rtf
memcpyunroll; Amiga routines; Amiga, ATARI520ST; address, long, address, long, long, integer; https://github.com/leuat/TRSE/raw/master/resources/text/help/m/memcpyunroll.rtf
setpalette; Amiga routines; Amiga, ATARI520ST; address, address, long; 
ablit; Amiga routines; Amiga; address, address, integer, integer, integer, integer, integer, long, integer, integer, integer; https://github.com/leuat/TRSE/raw/master/resources/text/help/m/ablit.rtf
fblit; Amiga routines; Amiga; address, address, integer, integer, integer, integer, integer, long, integer, integer, integer; 
getKey; Amiga routines; C64, MEGA65, C128, VIC20; ; 
EnableInterrupt; Amiga routines; Amiga, ATARI520ST; integer; 
pusha; Amiga routines; Amiga, ATARI520ST; ; 
popa; Amiga routines; Amiga, ATARI520ST; ; 
toPointer; Amiga routines; Amiga, ATARI520ST; long; 
swap; Amiga routines; Amiga, ATARI520ST; address, address, byte; 
memcpyunroll16; Amiga routines; M6809; address, address, integer; 
InitCustomCopperList; Amiga routines; Amiga; ; 
EndCustomCopperList; Amiga routines; Amiga; ; 
AddCopperCommand; Amiga routines; Amiga, ATARI520ST; integer, integer; 
SkipCopperCommands; Amiga routines; Amiga; integer; 
DrawLine; Amiga routines; Amiga; integer, integer, integer, integer, long, integer; 
Fill; Amiga routines; Amiga, ATARI520ST; address, long, long; 
MatMul3x3; Amiga routines; Amiga, ATARI520ST; address, address, address; 
SetRotationX; Amiga routines; Amiga, ATARI520ST; address, long, long; 
SetRotationY; Amiga routines; Amiga, ATARI520ST; address, long, long; 
SetRotationZ; Amiga routines; Amiga, ATARI520ST; address, long, long; 
SetIdentity; Amiga routines; Amiga, ATARI520ST; address; 
MatMulVec; Amiga routines; Amiga, ATARI520ST; address, address, address, integer; 
MatMulVecNormalZ; Amiga routines; Amiga, ATARI520ST; address, address, address, integer; 
MatMulVecNormal; Amiga routines; Amiga, ATARI520ST; address, address, address, integer; 
ProjectToScreen; Amiga routines; Amiga, ATARI520ST; address, integer, long, long; 
WaitForBlitter; Amiga routines; Amiga; ; 
VBIRQ; Amiga routines; Amiga; procedure; 
DisableInterrupts; Amiga routines; Amiga; ; 
ProjectAllVertices; Amiga routines; Amiga, ATARI520ST; address, address, long, long, long, long; 
Poke; Memory routines; MOS6502, Z80, Z180, M6809; address, byte, byte; 
Peek; Memory routines; MOS6502, Z80, Z180, M6809; address, byte; 
ToggleBit; Memory routines; MOS6502, M6809; address, byte, byte; 
GetBit; Memory routines; MOS6502, M6809; address, byte; 
EnableAllRam; Memory routines; C64, MEGA65, PLUS4; ; 
MemCpy; Memory routines; MOS6502; address, byte, address, byte; 
MemCpyFast; Memory routines; MOS6502, Z80, Z180, PX86; address, byte, address, byte; 
MemCpyUnroll; Memory routines; MOS6502; address, byte, address, byte; 
MemCpyUnrollReverse; Memory routines; MOS6502; address, byte, address, byte; 
BlockMemCpy; Memory routines; MOS6502; address, address, number; 
Inc; Memory routines; MOS6502, Z80, Z180, PX86, M6809; address; 
IncRange; Memory routines; MOS6502; byte, byte, byte; 
DecRange; Memory routines; MOS6502; byte, byte, byte; 
